success,model,sample,local_steps,local_psnr,local_conf_c1,local_conf_c2,remote_steps,remote_psnr,s1_label,s2_label,s1_conf_c1,s1_conf_c2,s2_conf_c1,s2_conf_c2
True,fmnist,114,205,58.161426639046915,0.47101470828056335,0.4710047245025635,166,58.16130410120013,4,2,0.47100988030433655,0.47100943326950073,0.47101083397865295,0.47100868821144104
True,fmnist,115,115,65.62939455924476,0.4636651575565338,0.4636552035808563,51,65.62927047962549,6,4,0.4636620879173279,0.4636586010456085,0.4636602997779846,0.46365997195243835
True,fmnist,116,235,40.99459758817915,0.4858267307281494,0.48581716418266296,133,40.99459440966566,9,7,0.4858219027519226,0.4858218729496002,0.4858224093914032,0.48582130670547485
False,fmnist,117,0,None,1.0,3.7884087533690547e-10,None,None,None,None,None,None,None,None
True,fmnist,118,222,43.388067582459485,0.3692880868911743,0.36927810311317444,115,43.38806068830699,8,5,0.3692834675312042,0.36928319931030273,0.369284063577652,0.3692828416824341
True,fmnist,119,129,47.471236705557104,0.5000030398368835,0.4999961256980896,21,47.47122920339063,9,7,0.4999997615814209,0.4999992847442627,0.5000006556510925,0.4999985098838806
True,fmnist,120,283,43.96377730438238,0.49982506036758423,0.4998154044151306,191,43.963764710154265,2,3,0.4998212456703186,0.49981921911239624,0.49982041120529175,0.4998200535774231
False,fmnist,121,0,None,1.0,3.6688712068411178e-09,None,None,None,None,None,None,None,None
True,fmnist,122,143,49.65699070718206,0.49948298931121826,0.49947571754455566,16,49.65697939243934,6,3,0.49947965145111084,0.49947893619537354,0.49947988986968994,0.49947869777679443
True,fmnist,123,159,47.13338994813573,0.4965367615222931,0.4965270459651947,33,47.13337810815812,3,1,0.49653199315071106,0.4965318739414215,0.49653246998786926,0.4965314567089081
True,fmnist,124,194,47.67989633831501,0.4999953508377075,0.49998676776885986,54,47.67988337364409,0,2,0.4999927282333374,0.49998939037323,0.49999159574508667,0.49999064207077026
True,fmnist,125,374,43.76806654552396,0.4999843239784241,0.4999752640724182,182,43.76804811039037,6,4,0.4999799132347107,0.4999796748161316,0.4999808669090271,0.4999787211418152
True,fmnist,126,247,46.24210426410448,0.4999995827674866,0.4999900460243225,60,46.242085975242524,6,4,0.49999499320983887,0.49999451637268066,0.4999963045120239,0.4999932050704956
True,fmnist,127,274,43.605984503681185,0.5000039935112,0.4999944567680359,91,43.605972905434946,9,7,0.5000011324882507,0.4999973177909851,0.49999916553497314,0.49999916553497314
